id,building,condition,ownership,floor,area,energy_type,elevator,parking,barrierless,price,equipped,closest_transport_distance,closest_shop_distance,metro_distance,train_distance,restaurant_distance,distance_to_centre,balcony,cellar
713344844,Cihlová,Velmi dobrý,Osobní,3,29,G,False,,,4649000,,130.0,121.0,336.0,2299,94,4.361092136617516,True,True
1270277196,Cihlová,Po rekonstrukci,Osobní,1,34,,,,,4243000,,87.0,451.0,820.0,1405,453,3.9092915200384346,,True
319039580,Smíšená,Ve výstavbě,Osobní,8,27,B,,1,,4654000,,404.0,339.0,988.0,1274,832,8.0670530500814,True,True
4081812556,Cihlová,Dobrý,Osobní,3,29,G,False,True,,3810000,,325.0,317.0,693.0,1764,679,4.812549682486776,,True
1906099788,Panelová,Velmi dobrý,Osobní,4,32,G,,,,4051000,True,256.0,355.0,840.0,2927,399,11.943988970451482,,
676787276,Skeletová,Novostavba,Osobní,1,48,G,True,True,,6608000,False,280.0,491.0,1118.0,1923,748,3.9150639017028803,,True
1638250316,Panelová,Po rekonstrukci,Osobní,3,27,D,,,,2643000,False,97.0,266.0,283.0,1090,195,6.544464543434231,,
4107789900,Cihlová,Velmi dobrý,Osobní,-,65,G,True,,,11124000,,163.0,329.0,254.0,802,185,1.48700083523822,True,True
2446628956,Skeletová,Ve výstavbě,Osobní,1,38,B,True,1,False,6139000,False,52.0,337.0,1613.0,2326,581,3.3929677519089094,True,True
3930486604,Cihlová,Ve výstavbě,Osobní,2,29,C,True,,,4509000,False,111.0,572.0,1404.0,556,546,5.92809824624601,,True
6166092,Cihlová,Dobrý,Družstevní,3,31,,False,,,4051000,,269.0,249.0,1911.0,2681,282,8.692926828842653,True,
3994634060,Cihlová,Velmi dobrý,Osobní,6,31,C,True,,,4117000,,548.0,674.0,4552.0,3374,977,8.75635387402817,True,True
3798660172,Panelová,Velmi dobrý,Osobní,1,27,C,True,,True,3187000,Částečně,139.0,141.0,3362.0,857,420,8.235538857377552,,True
173360972,Panelová,Velmi dobrý,Osobní,3,35,C,True,,False,4642000,True,59.0,299.0,112.0,1420,175,4.159368862639583,True,True
4120537180,Cihlová,Novostavba,Osobní,2,39,,True,,,5445000,,140.0,269.0,1657.0,2451,407,3.1686826585964343,True,True
505779276,Cihlová,Dobrý,Osobní,2,29,G,False,True,,3783000,,325.0,317.0,693.0,1764,679,4.812549682486776,,True
2060196188,Smíšená,Ve výstavbě,Osobní,5,39,B,,1,,6690000,,96.0,156.0,3247.0,875,447,8.870452276434287,True,
1777993292,Cihlová,Velmi dobrý,Družstevní,3,43,D,,,,4243000,False,183.0,250.0,,429,504,13.881942345581798,,
3130632012,Smíšená,Ve výstavbě,Osobní,7,39,B,True,True,,5636000,,141.0,149.0,747.0,3994,204,9.285868856787745,True,True
2704586316,Skeletová,Novostavba,Osobní,4,49,A,True,,True,4848000,,8.0,181.0,1693.0,1033,222,5.320775888276595,,True
392873548,Cihlová,Ve výstavbě,Osobní,2,31,,True,,,4628000,,82.0,437.0,983.0,1779,733,8.727738373745968,,
3261032268,Cihlová,Velmi dobrý,Osobní,2,31,E,False,,,4720000,True,198.0,594.0,1954.0,2684,669,4.260772197272972,,True
2629305932,Cihlová,Velmi dobrý,Osobní,1,33,G,True,,,6402000,,15.0,610.0,214.0,1094,53,2.6373446168846253,,True
2582517580,Cihlová,Velmi dobrý,Osobní,1,27,G,True,,,3818000,False,360.0,354.0,499.0,1599,112,2.52935192206082,,
4194407500,Panelová,Dobrý,Osobní,3,29,,True,,True,3088000,False,203.0,232.0,831.0,3210,218,10.999074876287349,,True
2463057740,Cihlová,Po rekonstrukci,Osobní,1,35,G,True,,,7419000,False,153.0,264.0,486.0,1376,164,2.4565577961048186,,
3827479628,Cihlová,Velmi dobrý,Osobní,3,37,C,,,,4642000,False,284.0,512.0,1099.0,1659,271,8.642929632837658,,
2904073292,Cihlová,Dobrý,Osobní,3,27,G,True,True,,4383000,False,129.0,285.0,2442.0,2677,307,3.477446296306939,,True
1437627980,Cihlová,Velmi dobrý,Osobní,1,41,G,,,,5213000,,311.0,452.0,1616.0,1023,684,4.12354267844196,True,True
2047861836,Cihlová,Velmi dobrý,Osobní,4,37,G,False,,,6575000,,270.0,224.0,750.0,1334,53,2.3592065922602257,,
1741022284,Smíšená,Novostavba,Osobní,2,35,B,True,True,True,4575000,,172.0,334.0,3994.0,1679,316,7.89077274511368,True,True
4021532236,Cihlová,Dobrý,Družstevní,2,36,C,True,,False,3101000,True,133.0,320.0,1586.0,3457,253,6.133215494520079,,True
3430963292,Cihlová,Novostavba,Osobní,2,27,G,True,,,4316000,,33.0,92.0,1174.0,1315,22,7.2473624985499505,,
